feature,missing_count,missing_share,missing_pct,fitted_on
KFK_BLOOD,1019,0.9990196078431373,99.90196078431373,final fit partition
IBS_NASL,982,0.9627450980392157,96.27450980392157,final fit partition
D_AD_KBRIG,648,0.6352941176470588,63.52941176470588,final fit partition
S_AD_KBRIG,648,0.6352941176470588,63.52941176470588,final fit partition
NOT_NA_KB,412,0.403921568627451,40.3921568627451,final fit partition
LID_KB,402,0.3941176470588235,39.411764705882355,final fit partition
NA_KB,392,0.3843137254901961,38.43137254901961,final fit partition
GIPER_NA,221,0.21666666666666667,21.666666666666668,final fit partition
NA_BLOOD,221,0.21666666666666667,21.666666666666668,final fit partition
K_BLOOD,218,0.21372549019607842,21.372549019607842,final fit partition
GIPO_K,217,0.21274509803921568,21.274509803921568,final fit partition
AST_BLOOD,167,0.16372549019607843,16.372549019607842,final fit partition
D_AD_ORIT,166,0.1627450980392157,16.274509803921568,final fit partition
S_AD_ORIT,166,0.1627450980392157,16.274509803921568,final fit partition
ALT_BLOOD,165,0.16176470588235295,16.176470588235293,final fit partition
DLIT_AG,157,0.153921568627451,15.392156862745098,final fit partition
ROE,118,0.11568627450980393,11.568627450980392,final fit partition
ritm_ecg_p_01,98,0.09607843137254903,9.607843137254903,final fit partition
ritm_ecg_p_02,98,0.09607843137254903,9.607843137254903,final fit partition
ritm_ecg_p_04,98,0.09607843137254903,9.607843137254903,final fit partition
ritm_ecg_p_06,98,0.09607843137254903,9.607843137254903,final fit partition
ritm_ecg_p_07,98,0.09607843137254903,9.607843137254903,final fit partition
ritm_ecg_p_08,98,0.09607843137254903,9.607843137254903,final fit partition
TIME_B_S,89,0.08725490196078431,8.72549019607843,final fit partition
L_BLOOD,79,0.07745098039215687,7.745098039215686,final fit partition
n_p_ecg_p_01,75,0.07352941176470588,7.352941176470589,final fit partition
n_p_ecg_p_03,75,0.07352941176470588,7.352941176470589,final fit partition
n_p_ecg_p_04,75,0.07352941176470588,7.352941176470589,final fit partition
n_p_ecg_p_05,75,0.07352941176470588,7.352941176470589,final fit partition
n_p_ecg_p_06,75,0.07352941176470588,7.352941176470589,final fit partition
n_p_ecg_p_07,75,0.07352941176470588,7.352941176470589,final fit partition
n_p_ecg_p_08,75,0.07352941176470588,7.352941176470589,final fit partition
n_p_ecg_p_09,75,0.07352941176470588,7.352941176470589,final fit partition
n_p_ecg_p_10,75,0.07352941176470588,7.352941176470589,final fit partition
n_p_ecg_p_11,75,0.07352941176470588,7.352941176470589,final fit partition
n_p_ecg_p_12,75,0.07352941176470588,7.352941176470589,final fit partition
n_r_ecg_p_01,75,0.07352941176470588,7.352941176470589,final fit partition
n_r_ecg_p_02,75,0.07352941176470588,7.352941176470589,final fit partition
n_r_ecg_p_03,75,0.07352941176470588,7.352941176470589,final fit partition
n_r_ecg_p_04,75,0.07352941176470588,7.352941176470589,final fit partition
n_r_ecg_p_05,75,0.07352941176470588,7.352941176470589,final fit partition
n_r_ecg_p_06,75,0.07352941176470588,7.352941176470589,final fit partition
n_r_ecg_p_08,75,0.07352941176470588,7.352941176470589,final fit partition
n_r_ecg_p_09,75,0.07352941176470588,7.352941176470589,final fit partition
n_r_ecg_p_10,75,0.07352941176470588,7.352941176470589,final fit partition
STENOK_AN,62,0.060784313725490195,6.078431372549019,final fit partition
inf_im,50,0.049019607843137254,4.901960784313726,final fit partition
ant_im,47,0.04607843137254902,4.6078431372549025,final fit partition
lat_im,44,0.043137254901960784,4.313725490196078,final fit partition
post_im,44,0.043137254901960784,4.313725490196078,final fit partition
FK_STENOK,39,0.03823529411764706,3.823529411764706,final fit partition
